image_url,caption_title_and_reference_description,cleaned_caption
https://upload.wikimedia.org/wikipedia/commons/d/d9/PaalsonType1.png,Paalson Type 1 [SEP] ,Paalson Type 1
https://upload.wikimedia.org/wikipedia/commons/4/42/Plica_plica.jpg,Plica plica [SEP] ,Plica plica
https://upload.wikimedia.org/wikipedia/commons/2/22/Dairy_Crest_milk_float_%28modified%29.jpg,"Smith Electric Vehicles [SEP] A Smith milk float, the company's most popular type of vehicle from the 1950s to the 1980s",Smith Electric Vehicles A Smith milk float the companys most popular type of vehicle from the 1950s to the 1980s
https://upload.wikimedia.org/wikipedia/commons/e/e4/Castra_of_Buciumi_001.jpg,Castra of Buciumi [SEP] Principia,Castra of Buciumi Principia
http://upload.wikimedia.org/wikipedia/commons/1/1f/Cashmere%2C_WA_-_Burbank_Homestead_Waterwheel.jpg,"Cashmere, Washington [SEP] The Burbank Homestead Waterwheel at the Cashmere Museum is listed in the National Register of Historic Places (NRHP), as is the Blewett Arrastra (a drag-stone for pulverizing ore; not shown), also in the museum.",Cashmere Washington The Burbank Homestead Waterwheel at the Cashmere Museum is listed in the National Register of Historic Places NRHP as is the Blewett Arrastra a dragstone for pulverizing ore not shown also in the museum
https://upload.wikimedia.org/wikipedia/commons/f/f6/Phaethornis_longirostris_baroni.jpg,Long-billed hermit [SEP] P. l baroni (Baron's hermit),Longbilled hermit P l baroni Barons hermit
https://upload.wikimedia.org/wikipedia/commons/7/77/B%C3%B6rne%2C_Ludwig.jpg,Ludwig Börne [SEP] Painting by Moritz Daniel Oppenheim,Ludwig Brne Painting by Moritz Daniel Oppenheim
https://upload.wikimedia.org/wikipedia/commons/0/0e/SE1983Jun11T.png,"Solar eclipse of July 2, 2019 [SEP] ",Solar eclipse of July 2 2019
https://upload.wikimedia.org/wikipedia/commons/3/39/Zonantes_P1130994a.jpg,Zonantes [SEP] ,Zonantes
https://upload.wikimedia.org/wikipedia/commons/2/23/Calcium_regulation.png,Calcium in biology [SEP] Calcium regulation in the human body[36],Calcium in biology Calcium regulation in the human body
https://upload.wikimedia.org/wikipedia/commons/e/e9/1956%E2%80%9357_Associazione_Calcio_Legnano.jpg,Legnano [SEP] A.C. Legnano 1956–1957.,Legnano AC Legnano 19561957
https://upload.wikimedia.org/wikipedia/commons/4/4a/Mission_San_Juan_Capistrano_circa_1921.jpg,Mission San Juan Capistrano [SEP] ,Mission San Juan Capistrano
https://upload.wikimedia.org/wikipedia/commons/5/52/Andrew_Stanton_cropped_2009.jpg,Finding Nemo [SEP] Andrew Stanton wrote and directed the film.,Finding Nemo Andrew Stanton wrote and directed the film
https://upload.wikimedia.org/wikipedia/commons/5/50/Kalavrita_Peloponnese_2006.jpg,Kalavryta [SEP] Kalavryta.,Kalavryta Kalavryta
http://upload.wikimedia.org/wikipedia/commons/4/41/Carbamate-group-2D.png,Carbamate [SEP] Chemical structure of carbamates,Carbamate Chemical structure of carbamates
https://upload.wikimedia.org/wikipedia/commons/5/57/Samuel_Brannan.jpg,Samuel Brannan [SEP] Samuel Brannan,Samuel Brannan Samuel Brannan
https://upload.wikimedia.org/wikipedia/commons/a/a1/Rhagodia_baccata_%287596796666%29.jpg,Chenopodium baccatum [SEP] ,Chenopodium baccatum
https://upload.wikimedia.org/wikipedia/commons/2/2f/Sculptuur_van_keizer_Karel_in_de_nis_van_een_wanddecoratie_die_uit_architecturale_vormen_bestaat_-_Utrecht_-_20399125_-_RCE.jpg,Duitse Huis [SEP] ,Duitse Huis
http://upload.wikimedia.org/wikipedia/commons/f/f1/Phillips_County_Kansas_Incorporated_and_Unincorporated_areas_Agra_Highlighted.svg,"Agra, Kansas [SEP] Location within Phillips County and Kansas",Agra Kansas Location within Phillips County and Kansas
https://upload.wikimedia.org/wikipedia/commons/2/2c/Worowo_-_ko%C5%9Bci%C3%B3%C5%82.jpg,Worowo [SEP] Church (1707) (p.w. Imienia Marii),Worowo Church 1707 pw Imienia Marii
https://upload.wikimedia.org/wikipedia/commons/7/77/10_lari._Georgia%2C_2007_b.jpg,Georgian lari [SEP] ,Georgian lari
https://upload.wikimedia.org/wikipedia/commons/8/82/Cathedrale_metz_2003.jpg,Georges d'Aubusson de La Feuillade [SEP] Metz Cathedral; Georges was Bishop of Metz 1669-1697,Georges dAubusson de La Feuillade Metz Cathedral Georges was Bishop of Metz 16691697
https://upload.wikimedia.org/wikipedia/commons/6/6c/Mrat%C3%ADn%2C_obecn%C3%AD_%C3%BA%C5%99ad.jpg,Mratín [SEP] Mratín (municipal office),Mratn Mratn municipal office
https://upload.wikimedia.org/wikipedia/commons/9/9b/Aya_Sameshima_in_2011.JPG,Aya Sameshima [SEP] Sameshima playing for Japan against Sweden in the 2011 World Cup semi finals,Aya Sameshima Sameshima playing for Japan against Sweden in the 2011 World Cup semi finals
http://upload.wikimedia.org/wikipedia/commons/a/a3/PachaTapado.jpg,Pachamanca [SEP] ,Pachamanca
https://upload.wikimedia.org/wikipedia/commons/e/e7/Cleisostoma_beckleri_-_FitzGerald%2C_Australian_Orchids_-_plate_85_%281877%29.jpg,Papillilabium [SEP] ,Papillilabium
https://upload.wikimedia.org/wikipedia/commons/1/13/Some_doors_are_monumental.jpg,List of monuments of Aruba [SEP] ,List of monuments of Aruba
https://upload.wikimedia.org/wikipedia/commons/b/b0/George-Edgar.jpg,List of presidents of Florida State University [SEP] ,List of presidents of Florida State University
https://upload.wikimedia.org/wikipedia/commons/1/1d/Moray_St_Giles.jpg,St Giles' Cathedral [SEP] Regent Moray's monument,St Giles Cathedral Regent Morays monument
https://upload.wikimedia.org/wikipedia/commons/1/10/Miri_Regev.jpg,List of Israeli Mizrahi and Sephardi Jews [SEP] ,List of Israeli Mizrahi and Sephardi Jews
https://upload.wikimedia.org/wikipedia/commons/3/3e/HMS_Loch_Insh_1944_IWM_FL_14742.jpg,Equipment of the Royal Malaysian Navy [SEP] ,Equipment of the Royal Malaysian Navy
http://upload.wikimedia.org/wikipedia/commons/f/f5/Map_of_Center_Township%2C_Butler_County%2C_Pennsylvania_Highlighted.png,"Center Township, Butler County, Pennsylvania [SEP] Map of Butler County, Pennsylvania highlighting Center Township",Center Township Butler County Pennsylvania Map of Butler County Pennsylvania highlighting Center Township
https://upload.wikimedia.org/wikipedia/commons/4/4a/American_Fazl_Mosque.JPG,"Fazl Mosque, Washington, D.C. [SEP] American Fazl Mosque",Fazl Mosque Washington DC American Fazl Mosque
https://upload.wikimedia.org/wikipedia/commons/f/f1/1944-11-01JapWW2BattlefrontAtlas.jpg,Timeline of World War II (1944) [SEP] ,Timeline of World War II 1944
https://upload.wikimedia.org/wikipedia/commons/b/b1/Arthur_Karpus_%281918%29.jpg,Arthur Karpus [SEP] Karpus from 1918 football team portrait,Arthur Karpus Karpus from 1918 football team portrait
https://upload.wikimedia.org/wikipedia/commons/a/ab/Abraham_Lincoln_O-77_matte_collodion_print.jpg,Abraham Lincoln [SEP] Lincoln in November 1863,Abraham Lincoln Lincoln in November 1863
https://upload.wikimedia.org/wikipedia/commons/6/6d/Liluah_workshop_and_car_shed_in_liluah.jpg,Liluah railway station [SEP] Liluah workshop and car shed in liluah,Liluah railway station Liluah workshop and car shed in liluah
https://upload.wikimedia.org/wikipedia/commons/5/5c/CaptainCookCruisesLogo.jpg,"Captain Cook Cruises, Australia [SEP] ",Captain Cook Cruises Australia
https://upload.wikimedia.org/wikipedia/commons/f/f1/Tissot_Pharaoh_and_the_Midwives.jpg,"Early infanticidal childrearing [SEP] Pharaoh and the Midwives, James Tissot c. 1900. In Exodus 1:15–21, Puah and Shiphrah were commanded by Pharaoh to kill all of the newborn baby boys, but they disobeyed.",Early infanticidal childrearing Pharaoh and the Midwives James Tissot c 1900 In Exodus 11521 Puah and Shiphrah were commanded by Pharaoh to kill all of the newborn baby boys but they disobeyed
https://upload.wikimedia.org/wikipedia/commons/c/cd/Uxbridge_War_Memorial_-_geograph.org.uk_-_1755167.jpg,Adrian Jones (sculptor) [SEP] ,Adrian Jones sculptor
https://upload.wikimedia.org/wikipedia/commons/a/ad/Kiran_Desai_2015.jpg,"List of Indian Americans [SEP] Kiran Desai, winner of the 2006 Man Booker Prize",List of Indian Americans Kiran Desai winner of the 2006 Man Booker Prize
https://upload.wikimedia.org/wikipedia/commons/7/72/Ava_Max_meeting_fans_%28cropped%29.jpg,Ava Max [SEP] Ava Max meeting fans,Ava Max Ava Max meeting fans
https://upload.wikimedia.org/wikipedia/commons/1/1b/Presidential_vote_in_Alaska.png,Alaska [SEP] A line graph showing the presidential vote by party from 1960 to 2016 in Alaska,Alaska A line graph showing the presidential vote by party from 1960 to 2016 in Alaska
https://upload.wikimedia.org/wikipedia/commons/6/6b/Mary_Steen_Victoria_Beatrice_Windsor_1895.jpg,"Windsor Castle [SEP] Queen Victoria and Princess Beatrice in the Queen's Sitting Room in 1895, photographed by Mary Steen",Windsor Castle Queen Victoria and Princess Beatrice in the Queens Sitting Room in 1895 photographed by Mary Steen
http://upload.wikimedia.org/wikipedia/commons/e/ed/Tashilhunpo_Monastery%2C_Shigatse.JPG,Samzhubzê District [SEP] Tashilhunpo,Samzhubz District Tashilhunpo
https://upload.wikimedia.org/wikipedia/commons/a/a4/L%27epine_portal.jpg,Notre-Dame de l'Épine [SEP] ,NotreDame de lpine
https://upload.wikimedia.org/wikipedia/commons/8/80/Flickr_-_Official_U.S._Navy_Imagery_-_The_lead_singer_of_Creed_perform_an_acoustic_rock_concert_aboard_USS_George_Washington_%28cropped%29.jpg,"Scott Stapp [SEP] Stapps performs alongside guitarist Brent Look, 2012",Scott Stapp Stapps performs alongside guitarist Brent Look 2012
https://upload.wikimedia.org/wikipedia/commons/d/d3/A_scene_from_%22Bonnie_Annie_Laurie%22_%28SAYRE_13187%29.jpg,Bonnie Annie Laurie [SEP] Scene with Peggy Hyland and Henry Hallam,Bonnie Annie Laurie Scene with Peggy Hyland and Henry Hallam
https://upload.wikimedia.org/wikipedia/commons/c/c2/Rhododendron_Y1.jpg,Sheringham Park [SEP] ,Sheringham Park
https://upload.wikimedia.org/wikipedia/commons/8/89/Dasyuris_partheniata_male.jpg,Dasyuris partheniata [SEP] ,Dasyuris partheniata
https://upload.wikimedia.org/wikipedia/commons/7/73/Alicia_Alonso_1955.jpg,Alicia Alonso [SEP] Alicia Alonso in 1955,Alicia Alonso Alicia Alonso in 1955
https://upload.wikimedia.org/wikipedia/commons/4/48/M%C3%BCnsterhof_-_Zunfthaus_zur_Meisen_2011-08-01_16-27-04.jpg,Zünfte of Zürich [SEP] ,Znfte of Zrich
https://upload.wikimedia.org/wikipedia/commons/e/e8/Achillea_ligustica4.jpg,Achillea ligustica [SEP] ,Achillea ligustica
https://upload.wikimedia.org/wikipedia/commons/1/13/Bloody_Saturday%2C_Shanghai.jpg,"Terrorism [SEP] Infant crying in Shanghai's South Station after the Japanese bombing, August 28, 1937.",Terrorism Infant crying in Shanghais South Station after the Japanese bombing August 28 1937
http://upload.wikimedia.org/wikipedia/commons/1/15/Minox35ml-flash-mf35st.jpg,Minox [SEP] ,Minox
https://upload.wikimedia.org/wikipedia/commons/1/1c/Butane-negative-gauche-side-3D-balls.png,Newman projection [SEP] ,Newman projection
https://upload.wikimedia.org/wikipedia/commons/e/ef/Wautier-doper.jpg,List of paintings by Michaelina Wautier [SEP] ,List of paintings by Michaelina Wautier
https://upload.wikimedia.org/wikipedia/commons/f/fd/Croydon_College%2C_west_end-_relief_of_Minerva_%28cropped%29.jpg,List of public art in the London Borough of Croydon [SEP] ,List of public art in the London Borough of Croydon
https://upload.wikimedia.org/wikipedia/commons/6/6b/Entrance_Gateway%2C_Aston_Hall.jpg,Listed buildings in Oswestry Rural [SEP] ,Listed buildings in Oswestry Rural
https://upload.wikimedia.org/wikipedia/commons/8/87/Britishentomologyvolume6Plate603.jpg,Electrophaes corylata [SEP] Illustration from John Curtis's British Entomology Volume 6,Electrophaes corylata Illustration from John Curtiss British Entomology Volume 6
http://upload.wikimedia.org/wikipedia/commons/4/4d/Ph_locator_zamboanga_del_norte_siocon.png,Siocon [SEP] Map of Zamboanga del Norte with Siocon highlighted,Siocon Map of Zamboanga del Norte with Siocon highlighted
https://upload.wikimedia.org/wikipedia/commons/4/43/Ginsenoside_Rg1.png,"Ginsenoside [SEP] The chemical structure of the ginsenoside Rg1, a member of the dammarane family of molecules.",Ginsenoside The chemical structure of the ginsenoside Rg1 a member of the dammarane family of molecules
https://upload.wikimedia.org/wikipedia/commons/7/70/Shanghai_Ferry_%40_Qinhuangdao_Rd_2011.jpg,Shanghai Ferry [SEP] ,Shanghai Ferry
https://upload.wikimedia.org/wikipedia/commons/e/e9/Laurin_L._Williams.jpg,Laurin Lyman Williams [SEP] Williams as a colonel commanding the 405th Infantry Regiment,Laurin Lyman Williams Williams as a colonel commanding the 405th Infantry Regiment
https://upload.wikimedia.org/wikipedia/commons/b/bd/Leopold_von_Sacher-Masoch_with_Fannie.jpg,Dominance and submission [SEP] Leopold von Sacher-Masoch and  Fanny Pistor (Baroness Bogdanoff),Dominance and submission Leopold von SacherMasoch and Fanny Pistor Baroness Bogdanoff
https://upload.wikimedia.org/wikipedia/commons/2/2b/1915_Louisiana_license_plate.jpg,Vehicle registration plates of Louisiana [SEP] ,Vehicle registration plates of Louisiana
https://upload.wikimedia.org/wikipedia/commons/f/f3/River_View_with_the_Ponte_Rotto.jpg,"Jacob de Heusch [SEP] ""River View with the Ponte Rotto"" by Jacob de Heusch, from 1696",Jacob de Heusch River View with the Ponte Rotto by Jacob de Heusch from 1696
https://upload.wikimedia.org/wikipedia/commons/e/e0/Bibow_Kirche_2008-08-17_001.jpg,List of Gothic brick buildings in Germany [SEP] ,List of Gothic brick buildings in Germany
https://upload.wikimedia.org/wikipedia/commons/1/1c/Church_of_the_Ascension_Interior_02.jpg,"Church of the Ascension (Atlantic City, New Jersey) [SEP] ",Church of the Ascension Atlantic City New Jersey
https://upload.wikimedia.org/wikipedia/commons/0/09/Fukurogura-sta.JPG,Fukurogura Station [SEP] Fukurogura Station in May 2009,Fukurogura Station Fukurogura Station in May 2009
https://upload.wikimedia.org/wikipedia/commons/c/c9/Mitchell_Langerak.jpg,"Bundaberg [SEP] Mitchell Langerak, former Bundaberg footballer, who is now playing for Borussia Dortmund in the German Bundesliga",Bundaberg Mitchell Langerak former Bundaberg footballer who is now playing for Borussia Dortmund in the German Bundesliga
https://upload.wikimedia.org/wikipedia/commons/c/c8/Troll001.jpg,"Industriewerke Ludwigsfelde [SEP] 1964 example of the TR 150 Troll 1, with original handlebar-end indicators",Industriewerke Ludwigsfelde 1964 example of the TR 150 Troll 1 with original handlebarend indicators
https://upload.wikimedia.org/wikipedia/commons/9/93/Ann-Margret_Publicity.jpg,Ann-Margret [SEP] Ann-Margret in 1960s,AnnMargret AnnMargret in 1960s
https://upload.wikimedia.org/wikipedia/commons/9/91/Sri_Lanka_Grey_Hornbill.JPG,"Hornbill [SEP] As its name suggests, the Sri Lanka grey hornbill is grey and endemic to Sri Lanka.",Hornbill As its name suggests the Sri Lanka grey hornbill is grey and endemic to Sri Lanka
https://upload.wikimedia.org/wikipedia/commons/7/77/Arthur_at_Goonhilly.jpg,Grade II* listed buildings in Cornwall (A–G) [SEP] ,Grade II listed buildings in Cornwall AG
https://upload.wikimedia.org/wikipedia/commons/d/dd/Cable_headend_modulator.jpg,RF modulator [SEP] Cable TV Agile Modulator,RF modulator Cable TV Agile Modulator
https://upload.wikimedia.org/wikipedia/commons/3/3d/La_Boissi%C3%A8re-%C3%89cole_Orphelinat_H%C3%A9riot.jpg,La Boissière-École [SEP] Hériot orphanage and school,La Boissirecole Hriot orphanage and school
https://upload.wikimedia.org/wikipedia/commons/8/84/Peru_%28orthographic_projection%29.svg,LGBT rights in Peru [SEP] Peru,LGBT rights in Peru Peru
https://upload.wikimedia.org/wikipedia/commons/c/c6/Olomouc_UP_Faculty_of_Law_log.JPG,"Centre for Clinical Legal Education (Palacký University, Faculty of Law) [SEP] ",Centre for Clinical Legal Education Palack University Faculty of Law
https://upload.wikimedia.org/wikipedia/commons/f/f3/Jean_Shrimpton_%281965%29_2.jpg,Model (person) [SEP] Jean Shrimpton in 1965,Model person Jean Shrimpton in 1965
https://upload.wikimedia.org/wikipedia/commons/e/ec/Hot_Creek_steam.jpg,Hot Creek (Mono County) [SEP] Steam from geothermal springs rise above Hot Creek,Hot Creek Mono County Steam from geothermal springs rise above Hot Creek
https://upload.wikimedia.org/wikipedia/commons/d/db/Felix_Mendelssohn_Bartholdy_-_Wilhelm_Hensel_1847.jpg,"Jauchzet dem Herrn, alle Welt (Mendelssohn) [SEP] The composer in 1847, portrait by Wilhelm Hensel",Jauchzet dem Herrn alle Welt Mendelssohn The composer in 1847 portrait by Wilhelm Hensel
https://upload.wikimedia.org/wikipedia/commons/3/39/9_Carlton_Terrace.JPG,"Carlton Terrace, Edinburgh [SEP] 9 Carlton Terrace, a four-bayed townhouse in the centre of the bend, with balustraded parapet and balconettes on the first floor",Carlton Terrace Edinburgh 9 Carlton Terrace a fourbayed townhouse in the centre of the bend with balustraded parapet and balconettes on the first floor
https://upload.wikimedia.org/wikipedia/commons/3/37/Diver_trimmed_level.png,"Diver trim [SEP] Diver with weight and centre of buoyancy aligned for level trim: The static moments of buoyancy and weight keep the diver horizontal, and fin thrust can be aligned with direction of motion for best efficiency",Diver trim Diver with weight and centre of buoyancy aligned for level trim The static moments of buoyancy and weight keep the diver horizontal and fin thrust can be aligned with direction of motion for best efficiency
https://upload.wikimedia.org/wikipedia/commons/d/d9/04F_2016-12-18_0140Z.jpg,2016–17 South Pacific cyclone season [SEP] ,201617 South Pacific cyclone season
https://upload.wikimedia.org/wikipedia/commons/1/1c/Adnan_Khashoggi_Khalidia_Yacht.jpg,Adnan Khashoggi [SEP] Khashoggi's yacht Khalidia,Adnan Khashoggi Khashoggis yacht Khalidia
https://upload.wikimedia.org/wikipedia/commons/8/84/Northgreenwich.jpg,Will Alsop [SEP] ,Will Alsop
https://upload.wikimedia.org/wikipedia/commons/3/30/P9S_9mm_caliber.jpg,Heckler & Koch P9 [SEP] A P9S with the slide locked back.,Heckler Koch P9 A P9S with the slide locked back
https://upload.wikimedia.org/wikipedia/commons/1/18/Millburn_Deli_Sloppy_Joes.jpg,List of regional dishes of the United States [SEP] ,List of regional dishes of the United States
https://upload.wikimedia.org/wikipedia/commons/a/a7/Kermit_RooseveltIII.jpeg,Kermit Roosevelt III [SEP] Roosevelt reading at the Nantucket Atheneum,Kermit Roosevelt III Roosevelt reading at the Nantucket Atheneum
http://upload.wikimedia.org/wikipedia/commons/b/b0/Bluff_Hall_01.jpg,"Demopolis, Alabama [SEP] Bluff Hall in 2008",Demopolis Alabama Bluff Hall in 2008
https://upload.wikimedia.org/wikipedia/commons/1/1e/LiviFromTheLots.jpg,Livingston Campus (Rutgers University) [SEP] ,Livingston Campus Rutgers University
https://upload.wikimedia.org/wikipedia/commons/7/79/Mutton_Bird_Islands_%28Landsat%29.jpg,Wild Wind Islets [SEP] A Landsat image of the Mutton Bird Islands Group.,Wild Wind Islets A Landsat image of the Mutton Bird Islands Group
https://upload.wikimedia.org/wikipedia/commons/a/a2/Rhea_Clyman.png,"Rhea Clyman [SEP] Rhea Clyman, c. 1932",Rhea Clyman Rhea Clyman c 1932
https://upload.wikimedia.org/wikipedia/commons/5/5c/Vladimir_Putin_30_March_2001-1.jpg,Mike Moore (New Zealand politician) [SEP] Moore with Russian Prime Minister Vladimir Putin in 2001.,Mike Moore New Zealand politician Moore with Russian Prime Minister Vladimir Putin in 2001
https://upload.wikimedia.org/wikipedia/commons/4/48/Shin_Seung-hun_from_acrofan.jpg,"2004 Mnet Km Music Video Festival [SEP] Shin Seung-hun, Best Ballad Video",2004 Mnet Km Music Video Festival Shin Seunghun Best Ballad Video
https://upload.wikimedia.org/wikipedia/commons/c/c2/R._John_Wright_Tin_Man%2C_2015.png,"R. John Wright Dolls [SEP] The Tin Man from The Wizard of Oz, R. John Wright, 2015",R John Wright Dolls The Tin Man from The Wizard of Oz R John Wright 2015
http://upload.wikimedia.org/wikipedia/commons/e/e2/Ingolstadt.jpg,Ingolstadt [SEP] Ingolstadt by night,Ingolstadt Ingolstadt by night
https://upload.wikimedia.org/wikipedia/commons/1/1b/Dr_Chris_Ekiyor.jpg,Chris Ekiyor [SEP] Dr. Chris Ekiyor,Chris Ekiyor Dr Chris Ekiyor
https://upload.wikimedia.org/wikipedia/commons/9/96/Moss_Flats_Building_%28San_Francisco%29.JPG,National Register of Historic Places listings in San Francisco [SEP] ,National Register of Historic Places listings in San Francisco
https://upload.wikimedia.org/wikipedia/commons/2/27/Sommarn%C3%B6je_%281886%29%2C_akvarell_av_Anders_Zorn.jpg,"Anders Zorn [SEP] Sommarnöje, 1886. Sweden's priciest painting ever; sold at 26 million SEK on June 3, 2010.",Anders Zorn Sommarnje 1886 Swedens priciest painting ever sold at 26 million SEK on June 3 2010
https://upload.wikimedia.org/wikipedia/commons/9/93/Henrietta_Street_-_Dublin_4891466188.jpg,"William Stewart, 1st Earl of Blessington [SEP] Entrance to Mountjoy's town house
12 Henrietta Street Dublin August 2010",William Stewart 1st Earl of Blessington Entrance to Mountjoys town house 12 Henrietta Street Dublin August 2010
https://upload.wikimedia.org/wikipedia/commons/2/27/Forcasted_Solar_PV_Generation_and_Capacity_in_Mexico.png,Solar power in Mexico [SEP] Future growth for current and added solar PV installed capacity and generation from 2016-2030. Source: SENER. “Renewable Energy Prospective [Mexico]”. 2016 (p. 61),Solar power in Mexico Future growth for current and added solar PV installed capacity and generation from 20162030 Source SENER Renewable Energy Prospective 2016 p 61
https://upload.wikimedia.org/wikipedia/commons/2/2e/Chalcatzingo_Monument_1_El_Rey.svg,"Chalcatzingo [SEP] Monument 1, El Rey. Click here for a photo of El Rey.",Chalcatzingo Monument 1 El Rey Click here for a photo of El Rey
https://upload.wikimedia.org/wikipedia/commons/2/24/Albert_Divo_in_his_Bugatti_at_the_1930_Targa_Florio.jpg,1930 Targa Florio [SEP] Albert Divo in Bugatti Type 35 B,1930 Targa Florio Albert Divo in Bugatti Type 35 B
https://upload.wikimedia.org/wikipedia/commons/3/3c/Adam_Franti%C5%A1ek_Schwarzenberg.jpg,House of Schwarzenberg [SEP] ,House of Schwarzenberg
https://upload.wikimedia.org/wikipedia/commons/3/39/Babus_Jolan.jpg,List of women anthropologists [SEP] ,List of women anthropologists
https://upload.wikimedia.org/wikipedia/commons/9/94/Lienzo_de_Tlaxcala_Quetzaltenango.gif,Spanish conquest of the Maya [SEP] Page from the Lienzo de Tlaxcala showing the conquest of Quetzaltenango,Spanish conquest of the Maya Page from the Lienzo de Tlaxcala showing the conquest of Quetzaltenango
https://upload.wikimedia.org/wikipedia/commons/2/25/Trygve_Haavelmo.jpg,List of economists [SEP] Trygve Haavelmo,List of economists Trygve Haavelmo
https://upload.wikimedia.org/wikipedia/commons/b/ba/PlanckianLocus.png,"Color temperature [SEP] The CIE 1931 x,y chromaticity space, also showing the chromaticities of black-body light sources of various temperatures (Planckian locus), and lines of constant correlated color temperature.",Color temperature The CIE 1931 xy chromaticity space also showing the chromaticities of blackbody light sources of various temperatures Planckian locus and lines of constant correlated color temperature
http://upload.wikimedia.org/wikipedia/commons/6/62/Monito_from_dive_boat.jpg,"Monito Island [SEP] Monito Island, Puerto Rico",Monito Island Monito Island Puerto Rico
https://upload.wikimedia.org/wikipedia/commons/2/2c/Bombing_of_tel_aviv_7.jpg,Italian bombing of Mandatory Palestine in World War II [SEP] A casualty of the Italian bombing of Tel Aviv on 10 September 1940,Italian bombing of Mandatory Palestine in World War II A casualty of the Italian bombing of Tel Aviv on 10 September 1940
https://upload.wikimedia.org/wikipedia/commons/0/06/Barbara_Rose_Collins.jpg,List of African-American United States Representatives [SEP] ,List of AfricanAmerican United States Representatives
https://upload.wikimedia.org/wikipedia/commons/e/ed/147_Park_Street_Montclair_NJ-SWM-TLW-_2012-09-23.jpg,"National Register of Historic Places listings in Essex County, New Jersey [SEP] ",National Register of Historic Places listings in Essex County New Jersey
https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Lotoshino_rayon_%28Moscow_oblast%29.png,Lotoshinsky District [SEP] ,Lotoshinsky District
https://upload.wikimedia.org/wikipedia/commons/0/09/First_rib_Gray.png,Subclavian vein [SEP] ,Subclavian vein
https://upload.wikimedia.org/wikipedia/commons/3/34/Leeds_City_Library_%282a%29.jpg,Benjamin Payler [SEP] Carving on Leeds Central Library,Benjamin Payler Carving on Leeds Central Library
https://upload.wikimedia.org/wikipedia/commons/4/48/Bent_in_The_Feast_At_Solhoug.jpg,"The Feast at Solhaug [SEP] Sketch from inside the rear cover of the prompter's script from 1855, which probably shows the householder Bengt Gauteson drawn by the playwright himself, Henrik Ibsen.",The Feast at Solhaug Sketch from inside the rear cover of the prompters script from 1855 which probably shows the householder Bengt Gauteson drawn by the playwright himself Henrik Ibsen
https://upload.wikimedia.org/wikipedia/commons/5/5b/Pete_Geren.jpg,Texas's 12th congressional district [SEP] ,Texass 12th congressional district
https://upload.wikimedia.org/wikipedia/commons/9/96/Pyralidae-Duponchelia_fovealis_fovealis-9mm-29.jpg,Duponchelia fovealis [SEP] ,Duponchelia fovealis
https://upload.wikimedia.org/wikipedia/commons/d/dd/Carlisle_aerial_westward.jpg,"Carlisle, Ohio [SEP] Aerial view of Carlisle",Carlisle Ohio Aerial view of Carlisle
https://upload.wikimedia.org/wikipedia/commons/6/6c/Sparta_territory.jpg,"Thouria, Messenia [SEP] Thouria in ancient Greece, located west of Sparta.",Thouria Messenia Thouria in ancient Greece located west of Sparta
https://upload.wikimedia.org/wikipedia/commons/3/33/Lapara_bombycoides_MHNT_CUT_2010_0_151_Lake_Katerine_Oneida_County%2C_Wisconsin%2C_male_ventral.jpg,Lapara bombycoides [SEP] ,Lapara bombycoides
https://upload.wikimedia.org/wikipedia/commons/f/fa/Heusner%2C_Ludwig_%281913%29_%28Galerie_Hervorragender_%C3%84rzte_und_Naturforscher%29.jpg,Ludwig Heusner [SEP] Ludwig Heusner,Ludwig Heusner Ludwig Heusner
http://upload.wikimedia.org/wikipedia/commons/0/06/Kara%C4%91or%C4%91ev_dud.jpg,"Smederevo [SEP] Karađorđe's mulberry, under which Karađorđe received the city keys during the 1805 uprising.",Smederevo Karaores mulberry under which Karaore received the city keys during the 1805 uprising
https://upload.wikimedia.org/wikipedia/commons/1/14/Michael_Pe%C3%B1a_TIFF_2015.jpg,End of Watch [SEP] ,End of Watch
https://upload.wikimedia.org/wikipedia/commons/6/61/Ch%C3%A2teau_Vieux_de_Saint-Germain-en-Laye_cour_1.JPG,Château de Saint-Germain-en-Laye [SEP] ,Chteau de SaintGermainenLaye
https://upload.wikimedia.org/wikipedia/commons/f/fc/Funaoka_stn_%28Kyoto%29.jpg,"Funaoka Station (Kyoto) [SEP] Sanin Main Line, Funaoka Station, Station Entrance and Home",Funaoka Station Kyoto Sanin Main Line Funaoka Station Station Entrance and Home
https://upload.wikimedia.org/wikipedia/commons/e/e4/Beta_attenuation_detector.svg,Beta attenuation monitoring [SEP] The schematic of a beta attenuation monitor (BAM). The detector allows to assess cumulative mass concentration of suspended particulate matter (PM) in the ambient air. Notation: 1 – air inlet; 2 – cycling ribbon; 3 and 4 – beta radiation sources; D1 and D2 – beta radiation detectors; 5 – air pump; 6 – air exhaust.,Beta attenuation monitoring The schematic of a beta attenuation monitor BAM The detector allows to assess cumulative mass concentration of suspended particulate matter PM in the ambient air Notation 1 air inlet 2 cycling ribbon 3 and 4 beta radiation sources D1 and D2 beta radiation detectors 5 air pump 6 air exhaust
https://upload.wikimedia.org/wikipedia/commons/1/16/SPA_9000_preda_bellica.jpg,Cannon 102/35 Model 1914 [SEP] ,Cannon 10235 Model 1914
